Date,Open,High,Low,Close,Volume,Currency
2019-05-23,4.99,5.026,4.955,4.973,18659780,EUR
2019-05-24,4.992,5.05,4.969,5.024,12896603,EUR
2019-05-27,5.083,5.097,5.011,5.036,6302808,EUR
2019-05-28,5.041,5.047,4.956,5.047,21306288,EUR
2019-05-29,4.996,5.028,4.948,4.997,17138010,EUR
2019-05-30,5.049,5.093,5.033,5.075,11757189,EUR
2019-05-31,4.923,4.949,4.843,4.867,43421520,EUR
2019-06-03,4.817,4.865,4.778,4.862,20279638,EUR
2019-06-04,4.843,5.016,4.84,5.01,26552684,EUR
2019-06-05,5.0,5.017,4.905,4.98,19119538,EUR
2019-06-06,4.96,5.079,4.896,4.944,27258712,EUR
2019-06-07,4.949,4.974,4.88,4.923,15412050,EUR
2019-06-10,5.015,5.08,4.989,5.068,16541699,EUR
2019-06-11,5.041,5.062,5.0,5.0,15167570,EUR
2019-06-12,4.95,4.96,4.878,4.939,20457180,EUR
2019-06-13,4.92,4.968,4.894,4.915,13837611,EUR
2019-06-14,4.905,4.915,4.862,4.878,13663826,EUR
2019-06-17,4.918,4.939,4.867,4.867,13567581,EUR
2019-06-18,4.861,4.922,4.801,4.902,23269580,EUR
2019-06-19,4.921,5.01,4.892,5.01,20101106,EUR
2019-06-20,5.01,5.029,4.939,4.939,25412252,EUR
2019-06-21,4.96,5.014,4.891,4.918,44322920,EUR
2019-06-24,4.921,4.974,4.883,4.917,11181919,EUR
2019-06-25,4.887,4.893,4.831,4.878,13827914,EUR
2019-06-26,4.861,4.93,4.834,4.894,18473132,EUR
2019-06-27,4.912,4.972,4.865,4.903,15365997,EUR
2019-06-28,4.91,4.934,4.888,4.917,13439317,EUR
2019-07-01,4.981,5.026,4.973,4.973,14326430,EUR
2019-07-02,4.976,4.992,4.888,4.93,13683537,EUR
2019-07-03,4.903,5.027,4.886,5.027,14534463,EUR
2019-07-04,5.009,5.098,5.009,5.087,16728566,EUR
2019-07-05,5.083,5.135,5.034,5.078,15022491,EUR
2019-07-08,5.05,5.082,4.961,4.985,15371088,EUR
2019-07-09,4.965,4.973,4.91,4.951,17025396,EUR
2019-07-10,4.93,5.004,4.888,4.944,19732968,EUR
2019-07-11,4.963,4.973,4.883,4.93,16826988,EUR
2019-07-12,4.952,4.985,4.897,4.897,17762272,EUR
2019-07-15,4.915,4.941,4.873,4.926,14556317,EUR
2019-07-16,4.947,5.008,4.913,4.971,16467224,EUR
2019-07-17,4.952,4.965,4.9,4.905,14722233,EUR
2019-07-18,4.879,4.894,4.812,4.856,16701931,EUR
2019-07-19,4.861,4.901,4.758,4.78,21036828,EUR
2019-07-22,4.777,4.792,4.711,4.745,16089992,EUR
2019-07-23,4.787,4.902,4.771,4.88,18138080,EUR
2019-07-24,4.851,4.905,4.83,4.878,13453844,EUR
2019-07-25,4.878,5.046,4.86,4.894,27632190,EUR
2019-07-26,4.867,4.887,4.816,4.833,14391024,EUR
2019-07-29,4.821,4.848,4.777,4.802,11447371,EUR
2019-07-30,4.787,4.793,4.622,4.657,24447312,EUR
2019-07-31,4.68,4.725,4.57,4.599,24996520,EUR
2019-08-01,4.601,4.723,4.59,4.636,20289324,EUR
2019-08-02,4.53,4.588,4.492,4.522,27344266,EUR
2019-08-05,4.474,4.502,4.435,4.46,20462324,EUR
2019-08-06,4.478,4.487,4.407,4.414,18281736,EUR
2019-08-07,4.447,4.485,4.368,4.407,20656660,EUR
2019-08-08,4.47,4.538,4.423,4.518,17715678,EUR
2019-08-09,4.457,4.484,4.42,4.436,17874682,EUR
2019-08-12,4.444,4.451,4.276,4.276,20749322,EUR
2019-08-13,4.263,4.395,4.23,4.353,23504588,EUR
2019-08-14,4.322,4.325,4.215,4.244,22631448,EUR
2019-08-15,4.281,4.298,4.187,4.234,20107016,EUR
2019-08-16,4.234,4.375,4.208,4.365,41075972,EUR
2019-08-19,4.396,4.425,4.269,4.269,18293516,EUR
2019-08-20,4.25,4.258,4.19,4.207,16548594,EUR
2019-08-21,4.204,4.261,4.204,4.231,9794727,EUR
2019-08-22,4.229,4.371,4.229,4.325,15127162,EUR
2019-08-23,4.354,4.373,4.24,4.24,15935499,EUR
2019-08-26,4.213,4.308,4.213,4.276,10219145,EUR
2019-08-27,4.295,4.333,4.261,4.29,16221338,EUR
2019-08-28,4.29,4.312,4.244,4.274,11505115,EUR
2019-08-29,4.266,4.368,4.263,4.322,14914028,EUR
2019-08-30,4.332,4.359,4.292,4.309,12925745,EUR
2019-09-02,4.296,4.33,4.277,4.277,8060712,EUR
2019-09-03,4.268,4.319,4.242,4.286,14715054,EUR
2019-09-04,4.338,4.363,4.303,4.313,12697114,EUR
2019-09-05,4.359,4.497,4.35,4.496,24409316,EUR
2019-09-06,4.483,4.56,4.46,4.49,15546890,EUR
2019-09-09,4.508,4.602,4.501,4.602,15194221,EUR
2019-09-10,4.6,4.702,4.542,4.696,23780344,EUR
2019-09-11,4.74,4.772,4.653,4.676,19602796,EUR
2019-09-12,4.678,4.775,4.554,4.729,26759160,EUR
2019-09-13,4.77,4.872,4.758,4.865,27144116,EUR
2019-09-16,4.825,4.846,4.758,4.795,15755225,EUR
2019-09-17,4.771,4.782,4.669,4.697,18441966,EUR
2019-09-18,4.72,4.743,4.646,4.692,16203818,EUR
2019-09-19,4.722,4.785,4.694,4.785,14996730,EUR
2019-09-20,4.77,4.9,4.752,4.9,56440448,EUR
2019-09-23,4.841,4.85,4.674,4.686,26230224,EUR
2019-09-24,4.703,4.726,4.654,4.67,15259622,EUR
2019-09-25,4.638,4.683,4.561,4.676,15389616,EUR
2019-09-26,4.652,4.711,4.635,4.694,13012300,EUR
2019-09-27,4.71,4.769,4.681,4.747,12392956,EUR
2019-09-30,4.78,4.806,4.739,4.78,21034984,EUR
2019-10-01,4.82,4.828,4.7,4.7,16182780,EUR
2019-10-02,4.686,4.706,4.519,4.519,21267332,EUR
